Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Récits du Cosandier - Oscar Huguenin.epub;Huguenin, Oscar;Récits du Cosandier;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Huguenin' dans TITRE;Récits du Cosandier;Huguenin, Oscar
Brady, cinéma des damnés, Le - Jacques Thorens.epub;Thorens, Jacques;Brady, cinéma des damnés, Le;130;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR;Brady, cinéma des damnés, Le;Thorens, Jacques
Hôtel Saint-Georges - Rachid Boudjedra.epub;Boudjedra, Rachid;Hôtel Saint-Georges;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Boudjedra' dans TITRE;Hôtel Saint-Georges;Boudjedra, Rachid
Compagnie blanche, La - Arthur Conan Doyle.epub;Doyle, Arthur Conan;Compagnie blanche, La;130;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR;Compagnie blanche, La;Doyle, Arthur Conan
Équarissage pour tous, L' - Boris Vian.epub;Vian, Boris;Équarissage pour tous, L';290;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Vian' dans TITRE;Équarissage pour tous, L';Vian, Boris
Nostalgie heureuse, La - Amélie Nothomb.epub;Nothomb, Amélie;Nostalgie heureuse, La;290;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Nothomb' dans TITRE;Nostalgie heureuse, La;Nothomb, Amélie
Blade runner - Philip K. Dick.epub;Dick, Philip K.;Blade runner;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Dick' dans TITRE;Blade runner;Dick, Philip K.
Monsieur Lecoq - Volume 2 (French) - Émile Gaboriau.epub;Gaboriau, Émile;Volume 2 (French);190;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard | Chiffres dans AUTEUR | Mots-clés de titre dans AUTEUR;Volume 2 (French);Gaboriau, Émile
Pour celle qui est assise dans le noir à m'attendre - António Lobo Antunes.epub;Antunes, António Lobo;Pour celle qui est assise dans le noir à m'attendre;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Pour celle qui est assise dans le noir à m'attendre;Antunes, António Lobo
John Maynard Keynes - Gazier Bernard.epub;Bernard, Gazier;John Maynard Keynes;170;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Bernard' dans TITRE;John Maynard Keynes;Bernard, Gazier
